Genus,Species,Year,Stream,State.Prov.,Country,Elev.m,Date,Lat,Lon,D.From.Source.m,Verified.Since.2010
Lednia,Lednia borealis,2018,#4 White Chuck-Red Pass Fk,WA,USA,1736,18-Aug,48.0472761,-121.159461,197,yes
Lednia,Lednia borealis,2014,Colchuck Lake Inlet,WA,USA,1705,8-Aug,47.488737,-120.83708,626,yes
Lednia,Lednia borealis,2019,Coleman Glacier #1,WA,USA,1850,28-Aug,48.78973,-121.86446,45.2,yes
Lednia,Lednia borealis,2019,Coleman Glacier #2,WA,USA,1795,28-Aug,48.78907,-121.86536,22.9,yes
Lednia,Lednia borealis,2019,Coleman Glacier #3,WA,USA,1809,28-Aug,48.78847,-121.8671,25,yes
Lednia,Lednia borealis,2000,Fryingpan Creek (bridge),WA,USA,1162,16-Jul,46.888168,-121.609862,6850,no
Lednia,Lednia borealis,2019,Green Lake inlet creek,WA,USA,1666,28-Aug,48.80824,-121.73718,44.6,yes
Lednia,Lednia borealis,1989,Middle Tapto Lake,WA,USA,1747,8-Sep,48.88256,-121.36928,346,no
Lednia,Lednia borealis,1989,Nert Lake,WA,USA,1389,11-Sep,48.70487,-121.5016,852,no
Lednia,Lednia borealis,1989,No Name Lake,WA,USA,1171,24-Aug,48.85027,-121.11291,719,no
Lednia,Lednia borealis,1989,Price Lake,WA,USA,1192,6-Sep,48.85365,-121.60296,0,no
Lednia,Lednia borealis,1989,Redoubt Lake,WA,USA,1615,29-Aug,48.9738,-121.31214,162,no
Lednia,Lednia borealis,2019,Sholes Glacier,WA,USA,1856,28-Aug,48.81393,-121.76067,0,yes
Lednia,Lednia borealis,2010,Snow Lakes 1,WA,USA,1433,23-Aug,46.757046,-121.6989,285,yes
Lednia,Lednia borealis,2019,Unnamed trib to Green Lake,WA,USA,1732,28-Aug,48.81106,-121.74036,138,yes
Lednia,Lednia borealis,1987,Upper Bagley Lake,WA,USA,1341,30-Jul,48.853532,-121.691577,576,no
Lednia,Lednia borealis,2018,Upper Lyman 2,WA,USA,1810,11-Aug,48.18055,-120.89793,995,yes
Lednia,Lednia sierra,2018,1000 Island Lakes inlet,CA,USA,3006,6-Sep,37.709935,-119.192218,448,yes
Lednia,Lednia sierra,2018,Cascade Lake Inlet,CA,USA,3160,14-Sep,37.986267,-119.307404,134,yes
Lednia,Lednia sierra,2010,Cold Water Creek,CA,USA,3105,19-Aug,37.57186,-118.987246,66,yes
Lednia,Lednia sierra,1986,Coness Lake inlet,CA,USA,3414,11-Aug,37.972288,-119.314058,502,no
Lednia,Lednia sierra,2018,Donoghue Pass-East Lyell Fork,CA,USA,3274,5-Sep,37.754299,-119.258707,232,yes
Lednia,Lednia sierra,2018,Marie Lakes Outlet,CA,USA,3420,6-Sep,37.737302,-119.247566,376,yes
