Species,Present,Year,Stream,State.Prov.,Country,Elev.m,Date,GPS.Decimal.Degrees,Old.GPS.Coords,Publication,Lat,Lon
Lednia borealis,no,2010,Deadwood Lakes 1,WA,USA,1612,28 June-20 Oct,"46.88444444, -121.51972222",,Kubo et al. 2012,46.88444444,-121.5197222
Lednia borealis,no,2010,Deadwood Lakes 2,WA,USA,1585,28 June-20 Oct,"46.88527778, -121.52027778",,Kubo et al. 2012,46.88527778,-121.5202778
Lednia borealis,no,2010,Deadwood Lakes 3,WA,USA,1610,28 June-20 Oct,"46.88777778, -121.52305556",,Kubo et al. 2012,46.88777778,-121.5230556
Lednia borealis,no,2010,Snow Lakes 2,WA,USA,1425,28 June-20 Oct,"46.75611111, -121.69972222",,Kubo et al. 2012,46.75611111,-121.6997222
Lednia borealis,no,2010,Snow Lakes 3,WA,USA,1428,28 June-20 Oct,"46.75916667, -121.69777778",,Kubo et al. 2012,46.75916667,-121.6977778
Lednia borealis,no,2010,Owyhigh Lakes 1,WA,USA,1590,28 June-20 Oct,"46.86611111, -121.58111111",,Kubo et al. 2012,46.86611111,-121.5811111
Lednia borealis,no,2010,Owyhigh Lakes 2,WA,USA,1585,28 June-20 Oct,"46.86638889, -121.58166667",,Kubo et al. 2012,46.86638889,-121.5816667
Lednia borealis,no,2010,Owyhigh Lakes 3,WA,USA,1580,28 June-20 Oct,"46.86805556, -121.58472222",,Kubo et al. 2012,46.86805556,-121.5847222
Lednia borealis,no,2007,EP-11-01 Outlet Stream,WA,USA,1209,31-Aug,"48.577,-121.145",,Turner et al. 2016,48.577,-121.145
Lednia borealis,no,2007,Lousy Outlet Stream,WA,USA,1117,11-Sep,"48.832,-121.305",,Turner et al. 2016,48.832,-121.305
Lednia borealis,no,2007,M-25-01 Outlet Stream,WA,USA,1602,20-Sep,"48.657,-121.501",,Turner et al. 2016,48.657,-121.501
Lednia borealis,no,2007,Ouzel Outlet Stream,WA,USA,1728,12-Sep,"48.963,-121.264",,Turner et al. 2016,48.963,-121.264
Lednia borealis,no,2007,Price Outlet Stream,WA,USA,1193,2-Sep,"48.857,-121.608",,Turner et al. 2016,48.857,-121.608
Lednia borealis,no,2007,"Middle, Lower Outlet Stream",WA,USA,1707,9-Sep,"48.885,-121.350",,Turner et al. 2016,48.885,-121.35
Lednia borealis,no,2007,"Middle, Upper Outlet Stream",WA,USA,1740,9-Sep,"48.886,-121.354",,Turner et al. 2016,48.886,-121.354
Lednia borealis,no,2007,"Tapto, Upper Outlet Stream",WA,USA,1756,10-Sep,"48.883,-121.369",,Turner et al. 2016,48.883,-121.369
Lednia borealis,no,2007,"Tapto, West Outlet Stream",WA,USA,1725,9-Sep,"48.883,-121.375",,Turner et al. 2016,48.883,-121.375
Lednia borealis,no,2007,"Thornton, Upper Outlet Stream",WA,USA,1536,15-Sep,"48.690,-121.341",,Turner et al. 2016,48.69,-121.341
Lednia sierra,no,2018,Garnet Lake Inlet,CA,USA,3062,6-Sep,"37.703183,-119.184400",,"M. Green, Unpubilshed",37.703183,-119.1844
Lednia sierra,no,2018,Upper Ruby Lake,CA,USA,3588,12-Aug,"37.399217, -118.779355",,"M. Green, Unpubilshed",37.399217,-118.779355
Lednia sierra,no,2019,Treasure Lakes,CA,USA,3418,18-Aug,"37.384980, -118.765074",,"M. Green, Unpubilshed",37.38498,-118.765074
Lednia tetonica,no,2012,Holly Lake,WY,USA,2817,21-Jul,"43.792563,-110.798150",,"Hotaling et al., 2017",43.792563,-110.79815
Lednia tetonica,no,2012,Mica Lake,WY,USA,2912,23-Jul,"43.783476,-110.844346",,"Hotaling et al., 2017",43.783476,-110.844346
Lednia tetonica,no,2012,Lake Solitude,WY,USA,2769,23-Jul,"43.792568,-110.844359",,"Hotaling et al., 2017",43.792568,-110.844359
Lednia tetonica,no,2012,Unnamed Lake,WY,USA,2777,29-Jul,"43.918744,-110.823735",,"Hotaling et al., 2017",43.918744,-110.823735
Lednia tetonica,no,2012,Pass Lake,WY,USA,2874,14-Aug,"43.64359,-110.908424",,"Hotaling et al., 2017",43.64359,-110.908424
Lednia tetonica,no,2012,Marion Lake,WY,USA,2820,14-Aug,"43.623838,-110.928770",,"Hotaling et al., 2017",43.623838,-110.92877
