,Species,Year,total.number.pops,number.pops,new.pops
1,Lednia borealis,1987,17,1,1
2,Lednia borealis,1989,17,5,6
3,Lednia borealis,2000,17,1,7
4,Lednia borealis,2010,17,1,8
5,Lednia borealis,2014,17,1,9
6,Lednia borealis,2018,17,2,11
7,Lednia borealis,2019,17,6,17
8,Lednia sierra,1985,8,1,1
9,Lednia sierra,1986,8,1,2
10,Lednia sierra,2010,8,2,4
11,Lednia sierra,2018,8,4,8
12,Lednia tetonica,2012,16,1,1
13,Lednia tetonica,2015,16,1,2
14,Lednia tetonica,2016,16,7,9
15,Lednia tetonica,2017,16,5,14
16,Lednia tetonica,2018,16,2,16
17,Lednia tumana,1966,111,1,1
18,Lednia tumana,1976,111,1,2
19,Lednia tumana,1977,111,1,3
20,Lednia tumana,1997,111,4,7
21,Lednia tumana,1998,111,3,10
22,Lednia tumana,2000,111,2,12
23,Lednia tumana,2005,111,1,13
24,Lednia tumana,2010,111,4,17
25,Lednia tumana,2011,111,5,22
26,Lednia tumana,2017,111,86,108
27,Lednia tumana,2020,111,3,111
,Lednia sp.,1966,153,1,1
,Lednia sp.,1976,153,1,2
,Lednia sp.,1977,153,1,3
,Lednia sp.,1985,153,1,4
,Lednia sp.,1986,153,1,5
,Lednia sp.,1987,153,1,6
,Lednia sp.,1989,153,5,11
,Lednia sp.,1997,153,4,15
,Lednia sp.,1998,153,3,18
,Lednia sp.,2000,153,3,21
,Lednia sp.,2005,153,1,22
,Lednia sp.,2010,153,7,29
,Lednia sp.,2011,153,5,34
,Lednia sp.,2012,153,1,35
,Lednia sp.,2014,153,1,36
,Lednia sp.,2015,153,1,37
,Lednia sp.,2016,153,7,44
,Lednia sp.,2017,153,91,135
,Lednia sp.,2018,153,8,143
,Lednia sp.,2019,153,6,149
,Lednia sp.,2020,153,3,152
